id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,total_rooms,total_sqft,price_per_sqft,months_sold
7129300520,20141013T000000,221900.0,3.0,1.0,1180.0,5650.0,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,4.0,6830.0,32.489019033674964,10
6414100192,20141209T000000,538000.0,3.0,2.25,2570.0,7242.0,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,5.25,10212.0,52.6831179005092,12
5631500400,20150225T000000,180000.0,2.0,1.0,770.0,10000.0,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,3.0,10770.0,16.71309192200557,2
2487200875,20141209T000000,604000.0,4.0,3.0,1960.0,5000.0,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,7.0,7870.0,76.74714104193139,12
1954400510,20150218T000000,510000.0,3.0,2.0,1680.0,8080.0,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,5.0,9760.0,52.25409836065574,2
1321400060,20140627T000000,257500.0,3.0,2.25,1715.0,6819.0,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,5.25,8534.0,30.17342395125381,6
2008000270,20150115T000000,291850.0,3.0,1.5,1060.0,9711.0,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,4.5,10771.0,27.095905672639496,1
2414600126,20150415T000000,229500.0,3.0,1.0,1780.0,7470.0,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,4.0,9980.0,22.995991983967937,4
3793500160,20150312T000000,323000.0,3.0,2.5,1890.0,6560.0,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,5.5,8450.0,38.22485207100592,3
1736800520,20150403T000000,662500.0,3.0,2.5,2081.073696532215,9796.0,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,5.5,13577.073696532214,48.795492667113706,4
9212900260,20140527T000000,468000.0,2.0,1.0,1160.0,6000.0,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,3.0,7460.0,62.73458445040215,5
114101516,20140528T000000,310000.0,3.0,1.0,2081.073696532215,19901.0,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,4.0,21982.07369653221,14.102400177509372,5
6054650070,20141007T000000,400000.0,3.0,1.75,1370.0,9680.0,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,4.75,11050.0,36.199095022624434,10
1175000570,20150312T000000,530000.0,5.0,2.0,1810.0,4850.0,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,7.0,6660.0,79.57957957957957,3
9297300055,20150124T000000,650000.0,4.0,3.0,2950.0,5000.0,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,7.0,8920.0,72.86995515695067,1
1875500060,20140731T000000,395000.0,3.0,2.0,1890.0,14040.0,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,5.0,15930.0,24.795982423101066,7
6865200140,20140529T000000,485000.0,4.0,1.0,1600.0,4300.0,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,5.0,5900.0,82.20338983050847,5
16000397,20141205T000000,189000.0,3.3728209385223886,1.0,1200.0,9850.0,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,4.372820938522389,11050.0,17.104072398190045,12
7983200060,20150424T000000,230000.0,3.0,1.0,1250.0,9774.0,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,4.0,11024.0,20.86357039187228,4
6300500875,20140514T000000,385000.0,4.0,1.75,1620.0,4980.0,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,5.75,7360.0,52.30978260869565,5
7137970340,20140703T000000,285000.0,5.0,2.5,2270.0,6300.0,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,7.5,8570.0,33.25554259043174,7
8091400200,20140516T000000,252700.0,3.3728209385223886,1.5,2081.073696532215,7620.0,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,4.872820938522389,9701.073696532214,26.048663055753423,5
3814700200,20141120T000000,329000.0,3.0,2.113506935994159,2450.0,6500.0,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,5.11350693599416,8950.0,36.75977653631285,11
1202000200,20141103T000000,233000.0,3.0,2.0,1710.0,4697.0,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,5.0,6407.0,36.36647416887779,11
1794500383,20140626T000000,937000.0,3.0,2.113506935994159,2450.0,2691.0,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,5.11350693599416,5841.0,160.41773668892313,6
5101402488,20140624T000000,438000.0,3.0,1.75,1520.0,6380.0,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,4.75,8630.0,50.7531865585168,6
1873100390,20150302T000000,719000.0,4.0,2.5,2570.0,7173.0,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,6.5,9743.0,73.79657189777276,3
8562750320,20141110T000000,580500.0,3.0,2.5,2320.0,3980.0,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,5.5,6300.0,92.14285714285714,11
